State ,District,Total Gram Panchayats,Service Ready Gram Panchayats
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,8,7
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,37,37
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,30,30
ANDHRA PRADESH,ANANTAPUR,1044,996
ANDHRA PRADESH,CHITTOOR,1412,1193
ANDHRA PRADESH,EAST GODAVARI,1103,1069
ANDHRA PRADESH,GUNTUR,1042,1011
ANDHRA PRADESH,KRISHNA,981,978
ANDHRA PRADESH,KURNOOL,973,937
ANDHRA PRADESH,PRAKASAM,1050,1032
ANDHRA PRADESH,SPSR NELLORE,944,930
ANDHRA PRADESH,SRIKAKULAM,1190,1155
ANDHRA PRADESH,VISAKHAPATANAM,969,919
ANDHRA PRADESH,VIZIANAGARAM,960,931
ANDHRA PRADESH,WEST GODAVARI,896,888
ANDHRA PRADESH,Y.S.R.,807,771
ARUNACHAL PRADESH,ANJAW,41,29
ARUNACHAL PRADESH,CHANGLANG,100,73
ARUNACHAL PRADESH,DIBANG VALLEY,21,19
ARUNACHAL PRADESH,EAST KAMENG,111,64
ARUNACHAL PRADESH,EAST SIANG,89,51
ARUNACHAL PRADESH,KAMLE,57,38
ARUNACHAL PRADESH,KRA DAADI,78,41
ARUNACHAL PRADESH,KURUNG KUMEY,75,29
ARUNACHAL PRADESH,LEPARADA,49,1
ARUNACHAL PRADESH,LOHIT,31,23
ARUNACHAL PRADESH,LONGDING,48,40
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,60,22
ARUNACHAL PRADESH,LOWER SIANG,56,10
ARUNACHAL PRADESH,LOWER SUBANSIRI,163,30
ARUNACHAL PRADESH,NAMSAI,102,74
ARUNACHAL PRADESH,PAKKE KESSANG,28,9
ARUNACHAL PRADESH,PAPUM PARE,76,24
ARUNACHAL PRADESH,SHI YOMI,34,31
ARUNACHAL PRADESH,SIANG,77,36
ARUNACHAL PRADESH,TAWANG,80,64
ARUNACHAL PRADESH,TIRAP,56,37
ARUNACHAL PRADESH,UPPER SIANG,62,47
ARUNACHAL PRADESH,UPPER SUBANSIRI,121,87
ARUNACHAL PRADESH,WEST KAMENG,97,16
ARUNACHAL PRADESH,WEST SIANG,72,3
ASSAM,BAKSA,87,12
ASSAM,BARPETA,129,31
ASSAM,BISWANATH,76,59
ASSAM,BONGAIGAON,65,61
ASSAM,CACHAR,162,162
ASSAM,CHARAIDEO,36,36
ASSAM,CHIRANG,67,0
ASSAM,DARRANG,75,23
ASSAM,DHEMAJI,65,52
ASSAM,DHUBRI,77,34
ASSAM,DIBRUGARH,93,93
ASSAM,DIMA HASAO,15,0
ASSAM,GOALPARA,81,33
ASSAM,GOLAGHAT,102,63
ASSAM,HAILAKANDI,62,52
ASSAM,HOJAI,67,43
ASSAM,JORHAT,90,72
ASSAM,KAMRUP,139,139
ASSAM,KAMRUP METRO,21,21
